Skills,Roles,Experience,Availability,ProjectAssignment,BurnRate,PerformanceRating,Overtime,NumberOfProject,AverageMonthlyHours,TimeSpendCompany,Age,Gender,HistoricalPerformanceData,YearsAtCompany,PromotionLast5Years
"Docker, Cloud Security, Kubernetes",Cloud Engineer,28,Available,Extended homogeneous time-frame,0.36,3,True,8,228,5,37,Female,"1, 4, 2, 2, 1",3,False
"TensorFlow, Statistics, Machine Learning, Data Analysis, Matplotlib",Data Scientist,1,Available,Monitored interactive system engine,0.67,3,False,9,230,2,27,Male,"1, 3, 5, 1, 2",4,True
"Leadership, Strategic Planning, Vendor Management, Project Management, Risk Management",IT Manager,30,Occupied,Multi-lateral scalable standardization,0.26,2,True,6,202,4,26,Male,"2, 3, 3, 2, 4",2,True
"Kubernetes, Google Cloud, Python",Cloud Engineer,12,Available,Multi-layered zero administration groupware,0.36,1,False,4,190,5,50,Female,"5, 2, 4, 3, 1",4,True
"SQL, R, Statistics, Python, Machine Learning",Data Scientist,2,Available,Adaptive 24/7 analyzer,0.65,4,False,9,193,3,52,Female,"2, 1, 3, 1, 1",7,False
"TensorFlow, Data Analysis, Statistics",Data Scientist,29,Occupied,Multi-tiered optimal migration,0.24,2,True,7,214,5,57,Female,"3, 5, 5, 4, 5",0,True
"Docker, AWS, Kubernetes",Cloud Engineer,3,Available,Networked tangible projection,0.25,1,True,7,241,7,25,Male,"2, 5, 3, 5, 3",8,False
"Terraform, Cloud Security, Kubernetes, AWS",Cloud Engineer,8,Occupied,Profound scalable synergy,0.91,5,False,9,243,3,51,Female,"1, 4, 5, 1, 5",1,False
"Risk Management, Project Management, ITIL, Vendor Management",IT Manager,30,Available,Reactive cohesive encoding,0.73,1,True,8,222,6,52,Male,"5, 5, 5, 5, 3",6,False
"Python, React, CSS",Software Engineer,17,Occupied,Front-line system-worthy frame,0.38,2,False,4,186,6,25,Female,"3, 5, 4, 1, 4",4,False
"AWS, Python, Networking, Google Cloud",Cloud Engineer,2,Available,Expanded tertiary capability,0.13,4,True,10,163,4,23,Male,"4, 5, 5, 3, 3",9,True
"Cloud Security, Docker, Python, Google Cloud",Cloud Engineer,3,Occupied,Seamless 24/7 leverage,0.54,5,True,10,241,10,35,Male,"2, 3, 3, 3, 5",3,False
"HTML, SQL, React",Software Engineer,24,Occupied,Persistent empowering infrastructure,0.6,1,True,1,180,6,45,Male,"1, 1, 3, 4, 5",6,False
"Leadership, Risk Management, Project Management, Vendor Management, Strategic Planning",IT Manager,6,Occupied,Fundamental incremental Internet solution,0.93,4,False,4,211,9,32,Female,"4, 5, 3, 5, 2",3,False
"SQL, HTML, C++",Software Engineer,25,Occupied,Optimized grid-enabled array,0.87,5,True,7,220,3,29,Female,"4, 5, 2, 5, 2",10,False
"Data Analysis, R, SQL",Data Scientist,2,Available,Progressive 6thgeneration firmware,0.0,3,False,2,176,5,59,Female,"1, 2, 4, 3, 1",2,False
"Python, Java, HTML",Software Engineer,29,Occupied,Fundamental background pricing structure,0.03,4,False,5,241,5,48,Female,"2, 2, 2, 2, 2",4,False
"Python, React, HTML, SQL",Software Engineer,25,Available,Optimized regional knowledgebase,0.72,4,True,2,221,10,53,Female,"2, 1, 3, 5, 1",4,False
"Django, CSS, HTML, C++, React",Software Engineer,12,Occupied,Monitored upward-trending monitoring,0.46,3,True,6,224,9,58,Male,"4, 3, 2, 5, 3",8,True
"Docker, AWS, CI/CD",DevOps Engineer,15,Occupied,Quality-focused needs-based frame,0.58,4,False,10,167,7,45,Male,"2, 2, 4, 1, 5",10,True
"CI/CD, Linux, Monitoring",DevOps Engineer,19,Available,Realigned intermediate open system,0.16,1,True,1,247,2,22,Male,"5, 3, 2, 2, 4",4,False
"UML, SQL, System Design",System Analyst,28,Available,Fully-configurable asymmetric leverage,0.19,5,False,1,237,6,50,Male,"3, 1, 3, 3, 3",5,False
"C++, JavaScript, HTML, SQL",Software Engineer,9,Available,User-centric attitude-oriented toolset,0.94,5,False,3,175,5,56,Female,"2, 4, 5, 1, 2",5,False
"SQL, Django, HTML, Java",Software Engineer,9,Available,Integrated modular concept,0.97,1,False,6,244,3,43,Female,"1, 1, 3, 3, 4",7,False
"Jenkins, CI/CD, Azure, AWS",DevOps Engineer,25,Occupied,Down-sized foreground frame,0.65,4,True,5,202,7,49,Female,"5, 2, 5, 2, 5",2,False
"React, CSS, Java, SQL, HTML",Software Engineer,11,Available,Synergistic full-range process improvement,0.86,5,True,5,203,9,25,Female,"2, 4, 3, 3, 1",0,False
"System Design, SQL, Requirements Gathering",System Analyst,18,Occupied,Integrated zero administration portal,0.62,3,False,9,248,7,56,Male,"1, 5, 2, 5, 2",6,False
"Python, Matplotlib, R, Data Analysis",Data Scientist,10,Available,Ergonomic discrete parallelism,0.45,2,True,3,247,6,24,Female,"3, 5, 3, 3, 3",4,True
"Docker, Azure, Networking, AWS, Cloud Security",Cloud Engineer,23,Occupied,Open-architected coherent emulation,0.05,4,False,4,240,7,48,Male,"1, 2, 5, 3, 3",10,False
"Azure, Kubernetes, Linux",DevOps Engineer,1,Available,Customizable uniform ability,0.38,2,False,3,247,5,34,Male,"4, 2, 2, 1, 1",10,False
"Kubernetes, Google Cloud, Terraform, Python, AWS",Cloud Engineer,30,Available,Cloned systemic process improvement,0.51,1,False,8,166,5,41,Female,"5, 4, 2, 5, 5",9,True
"Project Management, UML, System Design, Requirements Gathering",System Analyst,4,Occupied,Configurable attitude-oriented conglomeration,0.14,3,False,8,161,8,38,Male,"3, 1, 5, 3, 2",6,False
"Strategic Planning, Leadership, Risk Management",IT Manager,9,Available,Proactive tangible system engine,0.4,1,False,10,239,2,56,Male,"5, 4, 2, 1, 3",3,False
"Jenkins, CI/CD, AWS, Shell Scripting, Kubernetes",DevOps Engineer,7,Available,Fundamental tangible analyzer,0.31,5,True,6,199,8,25,Male,"2, 2, 5, 2, 3",1,False
"CSS, Django, React, HTML",Software Engineer,19,Occupied,Robust clear-thinking instruction set,0.81,1,False,2,238,10,58,Female,"2, 2, 3, 3, 2",3,False
"HTML, Java, CSS, SQL, React",Software Engineer,11,Occupied,De-engineered attitude-oriented process improvement,0.84,4,True,7,208,9,29,Male,"1, 2, 3, 4, 4",5,False
"Docker, Cloud Security, Azure, Kubernetes",Cloud Engineer,25,Occupied,Up-sized tangible framework,0.5,1,True,3,249,6,42,Male,"4, 2, 5, 1, 5",9,False
"Vendor Management, Strategic Planning, Project Management, Budgeting",IT Manager,15,Occupied,Fundamental regional parallelism,0.15,2,True,4,161,8,45,Male,"4, 5, 2, 3, 5",10,False
"Terraform, Azure, AWS, Cloud Security, Google Cloud",Cloud Engineer,1,Occupied,Polarized static product,0.21,4,False,2,162,8,57,Male,"5, 5, 3, 1, 5",0,True
"Data Analysis, Python, Pandas, Statistics",Data Scientist,3,Occupied,Streamlined solution-oriented customer loyalty,0.3,2,True,5,232,2,28,Female,"1, 1, 4, 4, 5",10,True
"Leadership, ITIL, Budgeting, Strategic Planning",IT Manager,7,Available,Configurable non-volatile budgetary management,0.69,1,True,9,187,6,49,Male,"2, 5, 1, 1, 5",4,False
"Shell Scripting, CI/CD, AWS, Azure, Docker",DevOps Engineer,16,Occupied,Up-sized homogeneous attitude,0.65,3,False,9,193,6,58,Female,"3, 4, 2, 3, 3",1,True
"Docker, AWS, Kubernetes",DevOps Engineer,17,Occupied,Future-proofed client-server moratorium,0.82,2,False,3,166,2,49,Male,"4, 4, 2, 3, 4",3,False
"Leadership, Budgeting, Vendor Management, Project Management, ITIL",IT Manager,4,Available,Exclusive incremental encryption,0.94,4,True,8,165,8,47,Female,"5, 4, 1, 2, 3",4,True
"Google Cloud, Azure, Python",Cloud Engineer,27,Available,Expanded zero administration open system,0.89,3,False,8,151,6,54,Male,"5, 4, 5, 3, 4",1,True
"Google Cloud, Networking, Python, AWS, Kubernetes",Cloud Engineer,10,Available,Customer-focused scalable Local Area Network,0.5,1,True,5,204,1,41,Male,"1, 5, 4, 2, 2",5,True
"Kubernetes, AWS, Google Cloud",Cloud Engineer,3,Occupied,Reduced demand-driven pricing structure,0.16,1,True,1,225,8,51,Female,"3, 5, 2, 2, 2",5,True
"Kubernetes, Monitoring, Docker, Linux",DevOps Engineer,4,Available,Seamless demand-driven open architecture,0.94,4,False,5,211,9,44,Male,"3, 2, 1, 2, 2",7,True
"System Design, Business Analysis, Data Modeling",System Analyst,17,Available,Sharable secondary archive,0.8,2,False,9,194,7,34,Male,"5, 4, 1, 2, 3",6,False
"Monitoring, Jenkins, Docker, Shell Scripting, AWS",DevOps Engineer,22,Occupied,Robust hybrid paradigm,0.89,5,False,10,203,4,53,Male,"4, 2, 1, 2, 3",3,True
"System Design, Business Analysis, SQL, Project Management",System Analyst,14,Available,Operative background hierarchy,0.95,4,True,4,167,2,51,Male,"4, 1, 4, 5, 4",8,False
"Cloud Security, AWS, Docker, Networking",Cloud Engineer,8,Occupied,Progressive tangible architecture,0.7,5,True,9,224,5,22,Female,"3, 1, 3, 1, 5",10,True
"Networking, Docker, Cloud Security, Python, AWS",Cloud Engineer,18,Occupied,Object-based 4thgeneration complexity,0.17,5,False,8,196,2,56,Male,"3, 1, 1, 4, 3",1,True
"SQL, React, HTML, JavaScript, Python",Software Engineer,3,Available,De-engineered responsive service-desk,0.16,3,True,10,220,8,40,Male,"1, 2, 1, 4, 2",0,True
"Cloud Security, Docker, Google Cloud, Azure, AWS",Cloud Engineer,19,Available,Configurable value-added structure,0.44,3,True,2,162,2,46,Female,"4, 5, 2, 1, 4",5,False
"Statistics, Data Analysis, R, TensorFlow, Machine Learning",Data Scientist,30,Available,Ameliorated homogeneous methodology,0.52,5,False,5,237,6,48,Male,"1, 5, 3, 3, 2",0,False
"Django, C++, Java, React",Software Engineer,7,Available,Up-sized intangible system engine,0.79,5,False,10,211,3,39,Female,"4, 4, 1, 4, 1",0,False
"Strategic Planning, Budgeting, Vendor Management, Project Management",IT Manager,16,Available,Reactive foreground paradigm,0.42,3,True,6,189,10,39,Female,"4, 4, 1, 5, 3",3,False
"Python, SQL, React",Software Engineer,20,Occupied,Distributed zero administration customer loyalty,0.58,5,False,1,189,4,35,Male,"5, 5, 3, 5, 3",2,True
"Python, Matplotlib, SQL",Data Scientist,16,Available,Cross-group reciprocal service-desk,0.87,1,True,5,234,2,24,Male,"5, 4, 5, 4, 2",0,True
"Django, JavaScript, Java",Software Engineer,12,Occupied,Networked non-volatile leverage,0.44,1,False,2,155,3,34,Male,"3, 3, 3, 2, 2",0,False
"Java, C++, SQL, React",Software Engineer,23,Occupied,Reduced well-modulated groupware,0.68,4,False,9,181,4,49,Male,"5, 3, 3, 5, 3",8,True
"Docker, Kubernetes, Azure, Google Cloud",Cloud Engineer,24,Available,Multi-tiered bottom-line standardization,0.25,5,False,6,197,4,45,Female,"2, 1, 2, 3, 4",10,True
"SQL, UML, Data Modeling, System Design",System Analyst,4,Occupied,Re-contextualized reciprocal framework,0.25,1,True,7,248,8,28,Female,"4, 4, 4, 3, 5",9,True
"Docker, Terraform, Google Cloud, Cloud Security, AWS",Cloud Engineer,6,Occupied,Multi-lateral 3rdgeneration complexity,0.91,5,False,10,219,10,47,Female,"1, 3, 3, 5, 3",2,True
"Vendor Management, Leadership, ITIL, Project Management",IT Manager,7,Occupied,Decentralized zero-defect adapter,0.64,5,True,1,217,10,53,Male,"3, 4, 5, 5, 5",4,False
"Vendor Management, Strategic Planning, Risk Management",IT Manager,16,Available,Fundamental non-volatile neural-net,0.06,4,True,5,233,8,53,Female,"4, 4, 2, 5, 3",7,True
"Python, TensorFlow, Statistics",Data Scientist,25,Occupied,Inverse bottom-line open system,0.49,3,False,4,157,10,55,Male,"2, 2, 5, 1, 5",2,True
"UML, Data Modeling, Requirements Gathering, SQL, System Design",System Analyst,27,Occupied,Virtual national encoding,0.57,2,False,1,248,7,39,Male,"1, 1, 4, 4, 1",6,True
"Networking, Cloud Security, Azure, AWS, Kubernetes",Cloud Engineer,19,Available,Cross-platform tertiary Local Area Network,0.66,1,False,7,247,1,36,Male,"5, 1, 2, 2, 3",2,False
"Budgeting, Vendor Management, Risk Management, ITIL, Strategic Planning",IT Manager,6,Available,Sharable methodical matrix,0.32,5,True,5,208,10,22,Female,"5, 2, 4, 2, 4",1,True
"Vendor Management, Strategic Planning, Project Management, Risk Management, ITIL",IT Manager,29,Available,Focused 24hour moratorium,0.35,2,False,10,175,10,48,Female,"2, 4, 4, 5, 5",6,False
"Azure, Jenkins, Monitoring, Docker, Shell Scripting",DevOps Engineer,15,Available,Fully-configurable executive Graphical User Interface,0.76,1,True,3,196,7,46,Female,"1, 4, 5, 2, 4",4,False
"UML, Data Modeling, Project Management, Business Analysis, Requirements Gathering",System Analyst,24,Occupied,Face-to-face full-range initiative,0.77,1,False,2,180,6,26,Male,"5, 1, 5, 4, 5",10,False
"Kubernetes, Cloud Security, Networking, Docker, Azure",Cloud Engineer,3,Available,Decentralized dedicated concept,0.16,4,False,9,165,2,23,Female,"4, 3, 3, 1, 1",6,True
"Leadership, Strategic Planning, Budgeting",IT Manager,14,Available,Programmable next generation website,0.84,2,False,8,168,5,34,Male,"3, 1, 2, 5, 4",9,False
"Business Analysis, UML, Project Management",System Analyst,20,Occupied,Seamless incremental paradigm,0.29,2,True,10,240,1,22,Female,"1, 3, 5, 5, 3",10,False
"Azure, Kubernetes, Monitoring, CI/CD",DevOps Engineer,14,Occupied,Cloned incremental knowledgebase,0.53,3,True,5,246,2,53,Male,"4, 3, 3, 4, 2",6,False
"Terraform, Google Cloud, Docker",Cloud Engineer,17,Available,Assimilated client-driven ability,0.36,2,False,10,159,7,49,Male,"3, 4, 4, 1, 2",6,True
"React, Python, SQL",Software Engineer,15,Occupied,Enterprise-wide national budgetary management,0.2,4,True,8,227,1,30,Male,"5, 4, 2, 5, 5",8,True
"Pandas, Matplotlib, Python, Machine Learning, Data Analysis",Data Scientist,22,Occupied,Synchronized motivating projection,0.24,4,False,7,165,6,41,Male,"2, 5, 3, 1, 1",10,False
"Statistics, TensorFlow, Machine Learning, Python",Data Scientist,29,Occupied,Persevering non-volatile functionalities,0.08,4,True,8,174,1,56,Female,"1, 3, 1, 1, 2",8,False
"Matplotlib, Python, Pandas, R",Data Scientist,21,Occupied,Organic eco-centric utilization,0.1,1,False,5,225,8,22,Female,"1, 3, 3, 3, 2",2,True
"Data Modeling, Project Management, SQL",System Analyst,15,Available,Vision-oriented zero tolerance adapter,0.85,3,False,6,201,10,52,Male,"3, 3, 3, 1, 3",3,True
"Docker, Python, Terraform",Cloud Engineer,8,Occupied,Face-to-face object-oriented installation,0.04,3,True,1,239,8,50,Female,"1, 2, 3, 2, 4",3,False
"Python, SQL, HTML, CSS, Django",Software Engineer,16,Occupied,Versatile full-range frame,0.61,1,True,4,192,4,51,Female,"1, 1, 1, 5, 1",8,False
"Pandas, Statistics, Data Analysis",Data Scientist,11,Available,Re-engineered eco-centric neural-net,0.33,1,False,9,235,1,41,Female,"2, 3, 1, 4, 2",4,False
"Statistics, TensorFlow, SQL",Data Scientist,18,Available,Persistent multi-state encryption,0.86,5,True,10,228,4,31,Male,"4, 4, 2, 5, 5",9,False
"ITIL, Strategic Planning, Project Management",IT Manager,14,Available,Optional intermediate secured line,0.32,3,True,3,236,1,27,Male,"2, 4, 1, 2, 5",4,True
"Google Cloud, AWS, Azure, Kubernetes, Docker",Cloud Engineer,9,Available,Fundamental upward-trending utilization,0.43,2,True,9,153,6,27,Female,"4, 1, 4, 2, 4",6,True
"Project Management, Business Analysis, SQL",System Analyst,18,Occupied,Total homogeneous projection,0.11,4,False,7,241,9,22,Female,"5, 4, 2, 2, 3",1,True
"Linux, Azure, AWS, Monitoring",DevOps Engineer,8,Available,Seamless full-range core,0.0,3,False,2,175,2,38,Male,"4, 1, 2, 5, 4",9,False
"AWS, Terraform, Google Cloud, Docker, Networking",Cloud Engineer,28,Available,User-friendly bi-directional success,0.51,5,False,6,219,8,52,Male,"4, 1, 5, 2, 1",9,False
"Networking, Docker, Azure",Cloud Engineer,7,Occupied,Focused maximized collaboration,0.82,5,False,9,247,5,33,Male,"2, 1, 1, 5, 1",5,True
"AWS, Python, Google Cloud, Azure",Cloud Engineer,7,Occupied,Balanced zero administration definition,0.75,1,False,2,166,4,28,Female,"4, 1, 2, 5, 2",2,True
"Azure, CI/CD, Linux, AWS",DevOps Engineer,21,Occupied,Front-line zero administration instruction set,0.31,1,True,5,187,2,38,Male,"1, 2, 3, 1, 5",5,True
"Python, TensorFlow, Data Analysis, Statistics",Data Scientist,26,Occupied,Realigned didactic instruction set,0.33,5,True,1,240,7,58,Female,"4, 4, 3, 5, 2",2,False
"Google Cloud, Networking, Cloud Security",Cloud Engineer,17,Occupied,Cloned 24/7 instruction set,0.94,2,False,7,244,5,29,Female,"2, 5, 3, 1, 5",3,False
"C++, CSS, Java, Python, JavaScript",Software Engineer,12,Occupied,Open-architected methodical concept,0.88,4,False,1,230,3,41,Male,"5, 1, 4, 2, 3",1,False
"SQL, Requirements Gathering, Business Analysis",System Analyst,11,Available,Reverse-engineered object-oriented Internet solution,0.98,1,True,1,217,1,34,Female,"5, 4, 2, 2, 3",6,False
"Terraform, Google Cloud, Azure, Python, Kubernetes",Cloud Engineer,16,Occupied,Self-enabling client-server pricing structure,0.16,5,False,2,215,3,42,Female,"1, 3, 1, 1, 2",10,True
"UML, Requirements Gathering, Data Modeling",System Analyst,20,Occupied,Enterprise-wide context-sensitive superstructure,0.85,2,True,8,172,9,28,Female,"5, 2, 3, 1, 1",9,False
"HTML, JavaScript, CSS",Software Engineer,3,Available,Configurable bi-directional application,0.83,1,False,5,171,8,55,Female,"2, 4, 4, 4, 5",4,False
"System Design, Data Modeling, Project Management",System Analyst,18,Available,Profit-focused encompassing neural-net,0.28,3,False,8,163,9,40,Male,"1, 4, 3, 1, 3",0,False
"Project Management, UML, SQL, Requirements Gathering, Business Analysis",System Analyst,7,Occupied,Ergonomic analyzing frame,0.68,4,True,3,229,5,35,Female,"1, 1, 2, 5, 1",9,True
"UML, Requirements Gathering, Business Analysis, Project Management",System Analyst,3,Occupied,Balanced optimizing toolset,0.62,2,False,4,196,3,47,Female,"1, 4, 2, 5, 1",2,True
"R, Statistics, TensorFlow, Matplotlib",Data Scientist,13,Occupied,Total encompassing synergy,0.44,1,True,6,231,1,27,Male,"3, 2, 1, 2, 2",4,False
"AWS, CI/CD, Kubernetes, Monitoring",DevOps Engineer,1,Available,Triple-buffered systemic product,0.22,3,True,5,184,5,28,Male,"3, 4, 3, 4, 3",6,False
"Jenkins, Monitoring, Kubernetes, AWS, CI/CD",DevOps Engineer,8,Available,Ameliorated explicit service-desk,0.69,5,True,3,194,7,40,Male,"5, 4, 3, 3, 1",6,True
"Statistics, SQL, Matplotlib",Data Scientist,26,Available,Enterprise-wide zero administration strategy,0.77,4,False,4,249,10,25,Female,"3, 2, 5, 3, 1",7,False
"R, Matplotlib, TensorFlow",Data Scientist,3,Occupied,Upgradable fault-tolerant superstructure,0.29,3,False,9,166,7,55,Female,"1, 3, 5, 1, 2",8,False
"Business Analysis, System Design, Project Management",System Analyst,5,Occupied,Self-enabling intermediate open system,0.64,1,True,8,181,7,48,Male,"1, 5, 3, 3, 3",2,True
"Shell Scripting, CI/CD, Kubernetes",DevOps Engineer,15,Occupied,Fundamental 24hour forecast,0.71,5,True,10,156,6,31,Female,"5, 5, 2, 4, 3",5,True
"Strategic Planning, Budgeting, Project Management",IT Manager,30,Occupied,Focused maximized concept,0.06,2,False,4,153,1,27,Male,"5, 4, 3, 1, 3",9,True
"AWS, Kubernetes, Cloud Security, Python",Cloud Engineer,26,Occupied,Stand-alone maximized projection,0.19,1,True,3,222,8,56,Male,"5, 1, 3, 1, 4",0,True
"TensorFlow, SQL, R, Data Analysis, Python",Data Scientist,6,Available,Automated homogeneous neural-net,0.16,1,True,2,219,2,26,Male,"4, 1, 1, 2, 5",0,True
"JavaScript, Django, Python",Software Engineer,2,Occupied,Switchable mobile budgetary management,0.29,5,False,4,235,1,37,Male,"1, 4, 2, 4, 2",10,True
"Vendor Management, Risk Management, Leadership, Strategic Planning, Budgeting",IT Manager,22,Available,Grass-roots full-range alliance,0.36,4,False,10,230,4,29,Female,"3, 4, 4, 4, 4",2,False
"React, Python, SQL, Django, C++",Software Engineer,10,Available,Phased exuding open architecture,0.43,4,False,8,211,3,39,Female,"1, 4, 2, 3, 5",9,False
"Statistics, R, SQL, Python, TensorFlow",Data Scientist,15,Available,Robust zero administration project,0.94,4,False,3,203,3,32,Male,"1, 4, 2, 1, 1",7,False
"Statistics, TensorFlow, Pandas",Data Scientist,28,Occupied,Assimilated contextually-based budgetary management,0.4,5,False,5,157,7,38,Male,"3, 1, 5, 4, 4",7,True
"Strategic Planning, ITIL, Leadership, Project Management",IT Manager,6,Available,Expanded logistical website,0.62,1,False,3,158,10,42,Female,"5, 2, 3, 2, 3",5,True
"R, Matplotlib, SQL, Pandas",Data Scientist,23,Occupied,Ergonomic tertiary structure,0.25,1,False,9,211,3,22,Female,"1, 3, 5, 3, 4",10,True
"Terraform, Cloud Security, Google Cloud, Networking",Cloud Engineer,3,Available,De-engineered fault-tolerant migration,0.67,1,False,2,174,10,36,Female,"1, 5, 5, 3, 4",1,False
"Monitoring, Azure, AWS, Docker",DevOps Engineer,9,Available,Seamless incremental application,0.21,3,False,6,214,5,60,Female,"4, 1, 2, 4, 4",5,False
"Jenkins, Azure, Docker",DevOps Engineer,30,Available,Enhanced even-keeled methodology,0.72,1,False,3,249,8,41,Male,"2, 5, 1, 4, 1",10,False
"Risk Management, Vendor Management, ITIL, Strategic Planning, Project Management",IT Manager,7,Occupied,Balanced mobile interface,0.26,3,True,5,216,1,48,Male,"2, 2, 3, 2, 5",1,False
"Data Analysis, Machine Learning, SQL, Python",Data Scientist,12,Available,Progressive exuding algorithm,0.63,2,False,9,176,5,38,Female,"5, 2, 4, 5, 1",5,False
"Azure, CI/CD, Jenkins, Docker, Kubernetes",DevOps Engineer,27,Occupied,Reverse-engineered eco-centric encryption,0.43,4,False,5,220,1,50,Male,"1, 4, 4, 3, 3",7,False
"Leadership, Budgeting, Project Management, Vendor Management",IT Manager,2,Available,Multi-lateral optimal migration,0.31,3,False,9,171,8,58,Female,"5, 1, 2, 4, 2",7,True
"Networking, Google Cloud, Python, AWS",Cloud Engineer,22,Available,Profound next generation software,0.18,3,False,9,178,5,26,Female,"1, 4, 5, 4, 1",1,True
"Kubernetes, AWS, Terraform",Cloud Engineer,1,Occupied,Universal context-sensitive model,0.06,4,False,2,207,2,49,Female,"2, 1, 2, 3, 1",9,True
"Leadership, Project Management, Budgeting",IT Manager,24,Available,Networked context-sensitive portal,0.96,1,False,1,175,2,40,Female,"2, 5, 4, 4, 3",2,True
"Leadership, Vendor Management, ITIL, Budgeting, Risk Management",IT Manager,1,Available,Organic upward-trending Graphical User Interface,0.46,1,True,7,229,5,58,Female,"3, 1, 2, 3, 4",3,False
"Django, Java, C++",Software Engineer,22,Available,Upgradable high-level process improvement,0.2,1,False,1,167,10,44,Female,"3, 4, 1, 4, 4",10,True
"Matplotlib, Data Analysis, Statistics",Data Scientist,1,Available,Realigned needs-based product,0.49,5,False,6,208,5,58,Male,"1, 5, 1, 4, 1",9,False
"CI/CD, Azure, Shell Scripting",DevOps Engineer,28,Available,Multi-lateral value-added success,0.22,5,False,5,233,1,59,Female,"1, 2, 1, 4, 3",3,True
"SQL, Python, React, HTML",Software Engineer,13,Available,Multi-lateral optimal hierarchy,0.63,2,False,8,161,8,22,Female,"2, 3, 3, 4, 3",10,True
"Java, SQL, Python, HTML, React",Software Engineer,10,Occupied,Self-enabling fresh-thinking collaboration,0.53,1,True,10,229,5,35,Male,"1, 2, 3, 3, 5",5,True
"Networking, Python, Docker",Cloud Engineer,11,Occupied,Secured well-modulated superstructure,0.86,3,True,9,211,6,49,Male,"1, 4, 5, 1, 2",4,False
"AWS, Cloud Security, Terraform, Networking, Google Cloud",Cloud Engineer,6,Available,Re-contextualized asymmetric portal,0.42,5,False,3,185,10,50,Female,"5, 3, 2, 3, 2",5,True
"System Design, Requirements Gathering, Project Management, Business Analysis, SQL",System Analyst,20,Occupied,Adaptive web-enabled structure,0.61,4,True,5,249,1,38,Male,"3, 2, 2, 5, 1",1,False
"Python, SQL, TensorFlow",Data Scientist,23,Available,Object-based 4thgeneration intranet,0.25,1,False,9,189,10,34,Female,"1, 5, 3, 4, 2",7,True
"Vendor Management, Strategic Planning, Budgeting, Project Management",IT Manager,17,Available,Re-contextualized discrete strategy,0.31,4,True,1,200,10,28,Female,"4, 1, 2, 4, 4",7,True
"Requirements Gathering, Project Management, SQL, UML",System Analyst,19,Available,Profit-focused intermediate info-mediaries,0.83,1,False,8,180,10,47,Male,"5, 2, 5, 3, 4",7,False
"SQL, Python, CSS",Software Engineer,24,Available,Implemented hybrid encryption,0.64,5,False,1,217,2,37,Male,"3, 5, 2, 5, 3",9,True
"ITIL, Risk Management, Leadership, Vendor Management",IT Manager,22,Occupied,Reduced fresh-thinking protocol,0.7,2,True,10,204,9,29,Female,"3, 5, 2, 2, 4",0,False
"SQL, TensorFlow, Pandas, Machine Learning, Matplotlib",Data Scientist,6,Available,Persistent 3rdgeneration open system,0.28,5,False,2,157,1,40,Male,"4, 1, 1, 3, 5",0,True
"Business Analysis, Data Modeling, Requirements Gathering, SQL",System Analyst,18,Available,Persistent exuding attitude,0.49,2,True,7,247,6,28,Male,"2, 5, 4, 3, 4",4,False
"Data Modeling, Business Analysis, Project Management",System Analyst,1,Occupied,Advanced leadingedge time-frame,0.62,5,False,10,183,10,34,Male,"4, 4, 3, 3, 1",3,True
"Project Management, Leadership, Budgeting, Strategic Planning, Risk Management",IT Manager,1,Occupied,Public-key hybrid strategy,0.77,1,True,7,191,5,56,Female,"4, 5, 4, 1, 3",10,True
"Budgeting, ITIL, Strategic Planning",IT Manager,28,Available,Re-engineered foreground strategy,0.46,4,False,4,152,1,57,Female,"2, 3, 3, 2, 3",3,False
"AWS, Google Cloud, Azure",Cloud Engineer,11,Available,Future-proofed 3rdgeneration initiative,0.44,1,True,5,229,2,48,Female,"4, 4, 3, 2, 4",1,False
"Business Analysis, UML, Requirements Gathering",System Analyst,27,Available,Decentralized solution-oriented model,0.31,5,True,8,177,6,52,Male,"3, 1, 5, 2, 5",9,False
"UML, SQL, Project Management",System Analyst,6,Available,Object-based heuristic ability,0.4,5,True,7,185,3,23,Female,"1, 1, 3, 4, 1",10,True
"R, Data Analysis, Machine Learning",Data Scientist,8,Occupied,Robust leadingedge groupware,0.74,2,True,9,159,6,29,Male,"3, 3, 1, 5, 1",5,False
"Business Analysis, SQL, Requirements Gathering",System Analyst,14,Occupied,Configurable motivating open architecture,0.52,4,True,9,210,3,35,Female,"4, 4, 4, 5, 1",0,True
"R, SQL, Data Analysis, Statistics, Python",Data Scientist,20,Available,Adaptive encompassing open system,0.74,1,False,4,234,7,52,Male,"3, 5, 3, 4, 4",0,True
"Django, C++, CSS, HTML",Software Engineer,27,Occupied,Configurable transitional open architecture,0.08,5,True,6,204,8,22,Male,"5, 2, 1, 2, 1",9,False
"Matplotlib, SQL, Machine Learning, Statistics, R",Data Scientist,16,Occupied,Pre-emptive 4thgeneration workforce,0.24,5,True,2,223,6,45,Male,"3, 3, 5, 4, 3",10,True
"AWS, Docker, CI/CD, Shell Scripting",DevOps Engineer,10,Occupied,Vision-oriented needs-based open architecture,0.24,4,True,2,186,1,59,Male,"4, 2, 5, 3, 2",1,True
"Azure, Networking, Kubernetes",Cloud Engineer,29,Available,Face-to-face discrete hierarchy,0.82,3,True,7,211,10,47,Female,"3, 4, 5, 1, 3",8,True
